employee_name,user_id,email,role,1,functional_unit,department,team,supervisor,date,pc,activity
Tyrone Damian Garner,TDG0962,Tyrone.Damian.Garner@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,01-02-2010 07:38,PC-6713,Logon
Stephanie Victoria Lyons,SVL0803,Stephanie.Victoria.Lyons@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,01-02-2010 07:40,PC-4124,Logon
Quynn Odessa Sanford,QOS0878,Quynn.Odessa.Sanford@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,01-02-2010 07:46,PC-0926,Logon
Melyssa Deirdre Morgan,MDM0625,Melyssa.Deirdre.Morgan@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,01-02-2010 07:46,PC-6672,Logon
Gray Mason Fulton,GMF0738,Gray.Mason.Fulton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,01-02-2010 07:46,PC-4154,Logoff
Bianca Elizabeth Roach,BER0314,Bianca.Elizabeth.Roach@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,01-02-2010 07:48,PC-3842,Logon
Aurelia Martina Reese,AMR0400,Aurelia.Martina.Reese@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,01-02-2010 07:49,PC-4785,Logon
Yardley Cairo Elliott,YCE0983,Yardley.Cairo.Elliott@dtaa.com,ManagementTrainer,1,1 - Adminstration,3 - Training,,Walter Kaseem Foley,01-02-2010 07:49,PC-4124,Logon
Blaine Jelani Weeks,BJW0619,Blaine.Jelani.Weeks@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,01-02-2010 07:50,PC-2417,Logon
Delilah Pearl Schneider,DPS0262,Delilah.Pearl.Schneider@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,01-02-2010 07:52,PC-7500,Logon
TaShya Yoko Bailey,TYB0779,TaShya.Yoko.Bailey@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,01-02-2010 07:56,PC-2321,Logon
Melissa Ava Stuart,MAS0025,Melissa.Ava.Stuart@dtaa.com,InstructionalCoordinator,1,1 - Adminstration,3 - Training,,Walter Kaseem Foley,01-02-2010 07:56,PC-0843,Logon
Kermit Beau Leach,KBL0260,Kermit.Beau.Leach@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,01-02-2010 07:56,PC-6797,Logon
Geoffrey Harlan Lara,GHL0460,Geoffrey.Harlan.Lara@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,01-02-2010 07:58,PC-6163,Logon
Flynn Malcolm Gibson,FMG0527,Flynn.Malcolm.Gibson@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,01-02-2010 07:58,PC-4124,Logoff
Heather Cynthia Leonard,HCL0651,Heather.Cynthia.Leonard@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,01-02-2010 08:00,PC-4124,Logon
Shannon Chantale Price,SCP0130,Shannon.Chantale.Price@dtaa.com,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Delilah Iliana Wilkinson,01-02-2010 08:05,PC-8001,Logon
Castor Mark Wolf,CMW0783,Castor.Mark.Wolf@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,01-02-2010 08:07,PC-9353,Logon
Ryan Kelly Frost,RKF0164,Ryan.Kelly.Frost@dtaa.com,Statistician,1,5 - SalesAndMarketing,1 - MarketAnalysis,,Dacey Jorden Bowen,01-02-2010 08:13,PC-8267,Logon
Damian Omar Le,DOL0332,Damian.Omar.Le@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,01-02-2010 08:13,PC-9842,Logon
Robert Samuel Chen,RSC0089,Robert.Samuel.Chen@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,01-02-2010 08:15,PC-0246,Logon
Cailin Casey Mckee,CCM0136,Cailin.Casey.Mckee@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,01-02-2010 08:16,PC-4124,Logoff
Nina Camille Hodges,NCH0179,Nina.Camille.Hodges@dtaa.com,AdministrativeAssistant,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,01-02-2010 08:18,PC-6032,Logon
Nicolas Brandon Hendrix,NBH0256,Nicolas.Brandon.Hendrix@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,01-02-2010 08:20,PC-4659,Logon
Olivia Rose Galloway,ORG0339,Olivia.Rose.Galloway@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,01-02-2010 08:20,PC-0435,Logon
Forrest Rashad Richards,FRR0832,Forrest.Rashad.Richards@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,01-02-2010 08:20,PC-9083,Logon
Miriam Shoshana Donovan,MSD0939,Miriam.Shoshana.Donovan@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,01-02-2010 08:22,PC-2113,Logon
Olivia Quynn Hardy,OQH0183,Olivia.Quynn.Hardy@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,01-02-2010 08:24,PC-0840,Logon
Bethany Stephanie Haynes,BSH0445,Bethany.Stephanie.Haynes@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,01-02-2010 08:29,PC-6204,Logon
Kennedy Shad Parker,KSP0357,Kennedy.Shad.Parker@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,01-02-2010 08:47,PC-6249,Logon
Nigel Gareth Ochoa,NGO0690,Nigel.Gareth.Ochoa@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,01-02-2010 08:52,PC-2288,Logon
Vincent Craig Cunningham,VCC0396,Vincent.Craig.Cunningham@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,01-02-2010 08:53,PC-0269,Logon
Wesley Dustin Dickerson,WDD0366,Wesley.Dustin.Dickerson@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,01-02-2010 08:54,PC-9896,Logon
Kai Penelope Peck,KPP0452,Kai.Penelope.Peck@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,01-02-2010 08:54,PC-2804,Logon
Raymond Tate Osborne,RTO0313,Raymond.Tate.Osborne@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,01-02-2010 08:55,PC-3571,Logon
Ariel Bertha Murphy,ABM0845,Ariel.Bertha.Murphy@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,01-02-2010 09:00,PC-5883,Logon
Vance Ira Alston,VIA0063,Vance.Ira.Alston@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Todd Vance Spears,01-02-2010 09:01,PC-1312,Logon
Benjamin Ignatius Hooper,BIH0745,Benjamin.Ignatius.Hooper@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,01-02-2010 09:09,PC-2744,Logon
Clinton Coby Wolfe,CCW0031,Clinton.Coby.Wolfe@dtaa.com,Manager,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Fatima Ulla Mcclure,01-02-2010 09:55,PC-6056,Logon
Illana Yvette Bradshaw,IYB0918,Illana.Yvette.Bradshaw@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,01-02-2010 09:57,PC-3842,Logon
Orla Ruth Mckenzie,ORM0669,Orla.Ruth.Mckenzie@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,01-02-2010 11:03,PC-6672,Logon
Mikayla Jaden Barron,MJB0588,Mikayla.Jaden.Barron@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,01-02-2010 11:21,PC-9822,Logon
Arthur Lucian Bonner,ALB0892,Arthur.Lucian.Bonner@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,01-02-2010 11:33,PC-4275,Logon
Leah Idola Moran,LIM0674,Leah.Idola.Moran@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,01-02-2010 11:48,PC-8893,Logon
Lacota Helen Nash,LHN0151,Lacota.Helen.Nash@dtaa.com,Accountant,1,4 - Finance,1 - Accounting,,Cedric Herrod Gilliam,01-02-2010 12:05,PC-7188,Logon
William Theodore Reeves,WTR0563,William.Theodore.Reeves@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,01-02-2010 12:18,PC-6204,Logon
MacKenzie Kristen Stewart,MKS0204,MacKenzie.Kristen.Stewart@dtaa.com,Attorney,1,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho,01-02-2010 12:21,PC-0840,Logon
Armando Albert Walter,AAW0353,Armando.Albert.Walter@dtaa.com,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Delilah Iliana Wilkinson,01-02-2010 12:29,PC-0926,Logon
Willow Jaime Daniel,WJD0576,Willow.Jaime.Daniel@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,01-02-2010 12:32,PC-9083,Logon
Irene Lacota Huffman,ILH0958,Irene.Lacota.Huffman@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,01-02-2010 12:32,PC-6032,Logon
Tallulah Liberty Kirby,TLK0993,Tallulah.Liberty.Kirby@dtaa.com,IndustrialEngineer,1,3 - Manufacturing,1 - IndustrialEngineering,,Grant Tyrone Doyle,01-02-2010 12:35,PC-1313,Logon
William Aladdin Bennett,WAB0143,William.Aladdin.Bennett@dtaa.com,Statistician,1,3 - Manufacturing,4 - QualityControl,,Kimberley Kiona Sosa,01-02-2010 12:39,PC-3446,Logon
Rashad Aristotle Guerrero,RAG0275,Rashad.Aristotle.Guerrero@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,01-02-2010 12:50,PC-6184,Logon
Leilani Quail Callahan,LQC0479,Leilani.Quail.Callahan@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,01-02-2010 12:58,PC-8370,Logon
Kai Wynne Craft,KWC0004,Kai.Wynne.Craft@dtaa.com,VicePresident,1,2 - ResearchAndEngineering,,,Mona Susan Shannon,01-02-2010 12:59,PC-5883,Logon
Cora Jane Kinney,CJK0200,Cora.Jane.Kinney@dtaa.com,PurchasingClerk,1,6 - PurchasingAndContracts,2 - Pricing,,Eugenia Whilemina Harrington,01-02-2010 12:59,PC-6163,Logon
Flynn Edward Brennan,FEB0306,Flynn.Edward.Brennan@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,01-02-2010 13:15,PC-5156,Logon
Indira Jocelyn Mack,IJM0776,Indira.Jocelyn.Mack@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,01-02-2010 13:19,PC-9896,Logon
Nicolas Kadeem Hayden,NKH0807,Nicolas.Kadeem.Hayden@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,01-02-2010 13:23,PC-2417,Logon
Jade Maris Coleman,JMC0925,Jade.Maris.Coleman@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,01-02-2010 13:28,PC-0246,Logon
Stephanie Briar Harrington,SBH0537,Stephanie.Briar.Harrington@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Todd Vance Spears,01-02-2010 13:33,PC-7500,Logon
Julie Jaime Burns,JJB0700,Julie.Jaime.Burns@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,01-02-2010 14:03,PC-0435,Logon
Amaya Iola Sawyer,AIS0405,Amaya.Iola.Sawyer@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,01-02-2010 14:06,PC-2113,Logon
Hilda Alice Hahn,HAH0760,Hilda.Alice.Hahn@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,01-02-2010 14:06,PC-2173,Logon
Aladdin Hu Day,AHD0848,Aladdin.Hu.Day@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,01-02-2010 14:08,PC-2173,Logoff
Lila Dana Mcintyre,LDM0587,Lila.Dana.Mcintyre@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,01-02-2010 15:46,PC-4736,Logoff
Armand Jasper Nicholson,AJN0607,Armand.Jasper.Nicholson@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,01-02-2010 15:47,PC-6713,Logoff
Bevis Brady Sheppard,BBS0039,Bevis.Brady.Sheppard@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,01-02-2010 15:49,PC-7979,Logoff
Emerald Imani Schmidt,EIS0041,Emerald.Imani.Schmidt@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,01-02-2010 15:56,PC-5156,Logoff
Melodie Lee Glenn,MLG0475,Melodie.Lee.Glenn@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,01-02-2010 15:56,PC-8370,Logoff
Hadley Rhona Dillon,HRD0635,Hadley.Rhona.Dillon@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,01-02-2010 16:07,PC-2321,Logoff
Ethan Perry Wiggins,EPW0434,Ethan.Perry.Wiggins@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,01-02-2010 16:16,PC-7188,Logoff
Jena Audrey Malone,JAM0382,Jena.Audrey.Malone@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,01-02-2010 16:17,PC-9842,Logoff
Noble Clinton Klein,NCK0295,Noble.Clinton.Klein@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,01-02-2010 16:42,PC-6204,Logoff
Luke Jacob Talley,LJT0817,Luke.Jacob.Talley@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,01-02-2010 16:45,PC-0840,Logoff
Chandler Ashton Madden,CAM0102,Chandler.Ashton.Madden@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,01-02-2010 16:51,PC-1917,Logoff
Suki Ori Grant,SOG0411,Suki.Ori.Grant@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,01-02-2010 17:00,PC-6249,Logoff
Kameko Signe Harrison,KSH0569,Kameko.Signe.Harrison@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,01-02-2010 17:00,PC-0926,Logoff
Bruno Donovan Ingram,BDI0533,Bruno.Donovan.Ingram@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,01-02-2010 17:03,PC-0269,Logoff
Paula Madaline Jackson,PMJ0564,Paula.Madaline.Jackson@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,01-02-2010 17:05,PC-4785,Logoff
Hedda Grace Gordon,HGG0240,Hedda.Grace.Gordon@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,01-02-2010 17:05,PC-6056,Logoff
Mari Gretchen Shaw,MGS0974,Mari.Gretchen.Shaw@dtaa.com,HumanResourceSpecialist,1,1 - Adminstration,1 - Personnel,,Bethany Xerxes Johnson,01-02-2010 17:06,PC-5883,Logoff
Dominic Howard Mcconnell,DHM0937,Dominic.Howard.Mcconnell@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,01-02-2010 17:06,PC-2288,Logoff
Evelyn Nevada Curtis,ENC0234,Evelyn.Nevada.Curtis@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,01-02-2010 17:07,PC-9896,Logoff
Colin Evan Brown,CEB0210,Colin.Evan.Brown@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,01-02-2010 17:07,PC-4275,Logoff
Yvette Jeanette Vang,YJV0699,Yvette.Jeanette.Vang@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,01-02-2010 17:10,PC-2417,Logoff
Brittany Mona Terry,BMT0528,Brittany.Mona.Terry@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,01-02-2010 17:11,PC-7500,Logoff
Caleb Jonas Chang,CJC0494,Caleb.Jonas.Chang@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,01-02-2010 17:13,PC-0843,Logoff
Sean Omar Burgess,SOB0360,Sean.Omar.Burgess@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,01-02-2010 17:17,PC-6699,Logoff
Glenna Caryn Sharpe,GCS0571,Glenna.Caryn.Sharpe@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,01-02-2010 17:19,PC-8267,Logoff
Beck John Peters,BJP0134,Beck.John.Peters@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,01-02-2010 17:27,PC-8893,Logoff
Kirby Bo Pollard,KBP0008,Kirby.Bo.Pollard@dtaa.com,VicePresident,1,6 - PurchasingAndContracts,,,Mona Susan Shannon,01-02-2010 17:31,PC-0435,Logoff
Fitzgerald Len Merrill,FLM0213,Fitzgerald.Len.Merrill@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,01-02-2010 18:00,PC-1313,Logoff
Rhonda Rhona Parsons,RRP0568,Rhonda.Rhona.Parsons@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,01-02-2010 18:02,PC-3842,Logoff
Maxwell Clark Faulkner,MCF0600,Maxwell.Clark.Faulkner@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,01-02-2010 18:03,PC-6672,Logoff
Shelly Audra Ayala,SAA0999,Shelly.Audra.Ayala@dtaa.com,ElectricalEngineer,1,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,01-02-2010 18:10,PC-6797,Logoff
Teagan Hedy Romero,THR0873,Teagan.Hedy.Romero@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,01-02-2010 18:13,PC-3571,Logoff
Kimberley Roary Maldonado,KRM0541,Kimberley.Roary.Maldonado@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,01-02-2010 18:17,PC-3446,Logoff
Kenneth Steel Porter,KSP0966,Kenneth.Steel.Porter@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,01-02-2010 18:19,PC-1312,Logoff
Lionel Omar Fisher,LOF0311,Lionel.Omar.Fisher@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,01-02-2010 18:19,PC-8001,Logoff
Montana Basia Roberts,MBR0724,Montana.Basia.Roberts@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,01-02-2010 18:20,PC-9822,Logoff
Felicia Sloane Cabrera,FSC0601,Felicia.Sloane.Cabrera@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,01-02-2010 18:26,PC-2744,Logoff
Medge Liberty Petersen,MLP0668,Medge.Liberty.Petersen@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,01-02-2010 18:28,PC-5758,Logoff
Charity Uta Daniels,CUD0795,Charity.Uta.Daniels@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,01-02-2010 18:29,PC-6184,Logoff
Aurora Katell Rhodes,AKR0057,Aurora.Katell.Rhodes@dtaa.com,AdministrativeAssistant,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,01-02-2010 18:30,PC-9353,Logoff
Guy Zeus Chandler,GZC0735,Guy.Zeus.Chandler@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,01-02-2010 18:40,PC-9083,Logoff
Hadassah Leah Harris,HLH0512,Hadassah.Leah.Harris@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,01-02-2010 19:00,PC-2804,Logoff
